aX,aY,aZ,gX,gY,gZ
-0.136,-0.123,1.000,2.502,3.418,4.700
-0.134,-0.115,1.001,3.784,3.906,4.517
-0.133,-0.123,1.000,4.822,4.089,4.578
-0.133,-0.121,0.997,5.493,4.456,4.456
-0.129,-0.127,0.997,6.287,4.761,4.211
-0.131,-0.131,0.989,5.432,4.822,3.296
-0.131,-0.132,0.989,5.676,5.005,3.113
-0.133,-0.133,0.989,6.348,5.066,3.479
-0.132,-0.137,0.993,6.287,4.761,4.089
-0.131,-0.138,0.994,6.409,4.028,4.700
-0.128,-0.136,0.994,6.592,3.235,4.944
-0.125,-0.141,0.989,6.409,2.625,5.432
-0.121,-0.143,0.983,5.615,2.197,5.493
-0.120,-0.145,0.978,4.761,2.197,5.493
-0.120,-0.146,0.981,4.700,2.441,5.310
-0.120,-0.140,0.978,4.395,2.380,4.822
-0.121,-0.139,0.976,4.395,2.319,4.639
-0.121,-0.137,0.971,3.906,2.319,4.517
-0.121,-0.136,0.971,3.540,2.197,4.456
-0.124,-0.131,0.973,3.052,2.136,4.456
-0.124,-0.128,0.978,2.197,2.441,4.700
-0.122,-0.129,0.981,0.793,2.380,4.761
-0.121,-0.136,0.980,-0.305,2.319,4.639
-0.553,-0.385,3.617,33.142,75.195,66.223
-0.465,-0.446,3.706,-11.230,60.852,44.922
-0.259,-0.394,3.419,-49.500,6.470,12.512
-0.077,-0.365,2.914,-67.200,-43.579,-15.686
-0.021,-0.282,2.392,-73.364,-73.669,-31.555
0.037,-0.186,1.988,-46.997,-94.666,-33.325
0.045,-0.059,1.697,-13.367,-110.046,-30.579
0.039,0.098,1.396,9.338,-118.835,-31.982
0.035,0.235,1.025,28.564,-125.671,-36.316
0.053,0.327,0.537,40.894,-132.446,-39.368
0.055,0.386,0.020,46.387,-137.573,-39.246
0.024,0.387,-0.442,47.363,-136.047,-33.142
-0.025,0.316,-0.774,49.622,-127.808,-22.705
-0.060,0.227,-0.968,55.237,-114.014,-8.911
